"","tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"38","N114UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"39","N11535",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"40","N11536",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"41","N11539",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"42","N11544",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"43","N11547",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"44","N11548",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"45","N11551",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"46","N11565",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"47","N117UW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"48","N118US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"49","N119US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"50","N1200K",1998,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"51","N1201P",1998,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"52","N12109",1994,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"53","N12114",1995,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"54","N12116",1996,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"55","N12122",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"56","N12125",1998,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"57","N12126",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"58","N12135",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"59","N12136",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"60","N12142",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"61","N12145",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"62","N12157",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"63","N12160",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"64","N12163",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"65","N12166",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"66","N12167",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"67","N12172",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"68","N12175",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"69","N12195",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"70","N121DE",1987,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"71","N121UW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"72","N12201",2006,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"73","N12216",1998,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"74","N12218",1998,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"75","N12221",1998,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"76","N12225",1998,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"77","N12238",1999,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"78","N122US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"79","N123UW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"80","N124US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"81","N12540",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"82","N12552",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"83","N12563",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"84","N12564",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"85","N12567",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"86","N12569",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"87","N125UW",2009,"Fixed wing multi engine","AIRBUS","A320-214",2,182,"NA","Turbo-fan"
"88","N126UW",2009,"Fixed wing multi engine","AIRBUS","A320-214",2,182,"NA","Turbo-fan"
"89","N127UW",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,"NA","Turbo-fan"
"90","N128UW",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,"NA","Turbo-fan"
"91","N12900",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"92","N12921",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"93","N12922",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"94","N12924",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"95","N12957",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"96","N12967",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"97","N12996",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"98","N13110",1994,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"99","N13113",1995,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"100","N13118",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"101","N13123",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"102","N13124",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"103","N13132",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"104","N13133",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"105","N13138",1999,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"106","N13161",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"107","N131EV",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"108","N13202",2006,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"109","N13248",1999,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"110","N132EV",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"111","N133EV",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"112","N134EV",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"113","N13538",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"114","N13550",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"115","N13553",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"116","N13566",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"117","N135EV",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"118","N136DL",1991,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"119","N136EV",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"120","N13716",1998,"Fixed wing multi engine","BOEING","737-724",2,149,"NA","Turbo-jet"
"121","N13718",1999,"Fixed wing multi engine","BOEING","737-724",2,149,"NA","Turbo-jet"
"122","N13750",1999,"Fixed wing multi engine","BOEING","737-724",2,149,"NA","Turbo-jet"
"123","N137DL",1991,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"124","N137EV",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"125","N138EV",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"126","N13903",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"127","N13908",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"128","N13913",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"129","N13914",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"130","N13949",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"131","N13955",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"132","N13956",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"133","N13958",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"134","N13964",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"135","N13965",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"136","N13968",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"137","N13969",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"138","N13970",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"139","N13975",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"140","N13978",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"141","N13979",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"142","N13988",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"143","N13989",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"144","N13992",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"145","N13994",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"146","N13995",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"147","N13997",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"148","N14102",1994,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"149","N14105",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"150","N14106",1994,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"151","N14107",1994,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"152","N14115",1995,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"153","N14116",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"154","N14117",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"155","N14118",1997,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"156","N14120",1997,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"157","N14121",1997,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"158","N14125",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"159","N14143",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"160","N14148",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"161","N14153",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"162","N14158",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"163","N14162",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"164","N14168",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"165","N14171",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"166","N14173",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"167","N14174",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"168","N14177",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"169","N14179",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"170","N14180",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"171","N14186",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"172","N14188",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"173","N14198",2006,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"174","N14203",2006,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"175","N14204",2006,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"176","N14214",1998,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"177","N14219",1998,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"178","N14228",1999,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"179","N14230",1999,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"180","N14231",1999,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"181","N14237",1999,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"182","N14242",1999,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"183","N14250",1999,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"184","N143DA",1998,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"185","N14542",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"186","N14543",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"187","N14562",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"188","N14568",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"189","N14570",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"190","N14573",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"191","N14629",1965,"Fixed wing multi engine","BOEING","737-524",2,149,"NA","Turbo-fan"
"192","N146PQ",2007,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"193","N14704",1998,"Fixed wing multi engine","BOEING","737-724",2,149,"NA","Turbo-jet"
"194","N14731",1999,"Fixed wing multi engine","BOEING","737-724",2,149,"NA","Turbo-jet"
"195","N147PQ",2007,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"196","N14902",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"197","N14904",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"198","N14905",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"199","N14907",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"200","N14916",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"201","N14920",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"202","N14923",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"203","N14950",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"204","N14952",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"205","N14953",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"206","N14959",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"207","N14960",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"208","N14972",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"209","N14974",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"210","N14977",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"211","N14991",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"212","N14993",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"213","N14998",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"214","N1501P",1990,"Fixed wing multi engine","BOEING","767-3P6",2,290,"NA","Turbo-fan"
"215","N150UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,"NA","Turbo-fan"
"216","N151UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,"NA","Turbo-fan"
"217","N152DL",1990,"Fixed wing multi engine","BOEING","767-3P6",2,290,"NA","Turbo-fan"
"218","N152UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,"NA","Turbo-fan"
"219","N153DL",1990,"Fixed wing multi engine","BOEING","767-3P6",2,290,"NA","Turbo-fan"
"220","N153PQ",2007,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"221","N153UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,"NA","Turbo-fan"
"222","N154DL",1991,"Fixed wing multi engine","BOEING","767-3P6",2,290,"NA","Turbo-fan"
"223","N154UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,"NA","Turbo-fan"
"224","N15572",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"225","N155DL",1991,"Fixed wing multi engine","BOEING","767-3P6",2,290,"NA","Turbo-fan"
"226","N155UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,"NA","Turbo-fan"
"227","N156DL",1991,"Fixed wing multi engine","BOEING","767-3P6",2,290,"NA","Turbo-fan"
"228","N156UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,"NA","Turbo-fan"
"229","N15710",1998,"Fixed wing multi engine","BOEING","737-724",2,149,"NA","Turbo-jet"
"230","N15712",1998,"Fixed wing multi engine","BOEING","737-724",2,149,"NA","Turbo-jet"
"231","N157UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,"NA","Turbo-fan"
"232","N15910",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"233","N15912",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"234","N15973",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"235","N15980",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"236","N15983",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"237","N15985",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"238","N15986",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"239","N1602",1999,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"240","N1603",1999,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"241","N1604R",1999,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"242","N1605",1999,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"243","N16065",1999,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"244","N1607B",2000,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"245","N1608",2000,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"246","N1609",2000,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"247","N1610D",2000,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"248","N16112",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"249","N1611B",2000,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"250","N1612T",2001,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"251","N1613B",2001,"Fixed wing multi engine","BOEING","767-332",2,330,"NA","Turbo-fan"
"252","N16147",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"253","N16149",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"254","N16151",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"255","N16170",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"256","N16178",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"257","N16183",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"258","N161PQ",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"259","N161UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,"NA","Turbo-jet"
"260","N16217",1998,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"261","N16234",1999,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
